T,N,M,Grade,HER2,ER,PR,OncotypeDX
0,1,0,1,Pos,Pos,Pos,N/A
0,1,0,1,Pos,Pos,Neg,N/A
0,1,0,1,Pos,Neg,Pos,N/A
0,1,0,1,Pos,Neg,Neg,N/A
0,1,0,1,Neg,Pos,Pos,N/A
0,1,0,1,Neg,Pos,Neg,N/A
0,1,0,1,Neg,Neg,Pos,N/A
0,1,0,1,Neg,Neg,Neg,N/A
0,1,0,2,Pos,Pos,Pos,N/A
0,1,0,2,Pos,Pos,Neg,N/A
0,1,0,2,Pos,Neg,Pos,N/A
0,1,0,2,Pos,Neg,Neg,N/A
0,1,0,2,Neg,Pos,Pos,N/A
0,1,0,2,Neg,Pos,Neg,N/A
0,1,0,2,Neg,Neg,Pos,N/A
0,1,0,2,Neg,Neg,Neg,N/A
0,1,0,3,Pos,Pos,Pos,N/A
0,1,0,3,Pos,Pos,Neg,N/A
0,1,0,3,Pos,Neg,Pos,N/A
0,1,0,3,Pos,Neg,Neg,N/A
0,1,0,3,Neg,Pos,Pos,N/A
0,1,0,3,Neg,Pos,Neg,N/A
0,1,0,3,Neg,Neg,Pos,N/A
0,1,0,3,Neg,Neg,Neg,N/A
0,1,X,1,Pos,Pos,Pos,N/A
0,1,X,1,Pos,Pos,Neg,N/A
0,1,X,1,Pos,Neg,Pos,N/A
0,1,X,1,Pos,Neg,Neg,N/A
0,1,X,1,Neg,Pos,Pos,N/A
0,1,X,1,Neg,Pos,Neg,N/A
0,1,X,1,Neg,Neg,Pos,N/A
0,1,X,1,Neg,Neg,Neg,N/A
0,1,X,2,Pos,Pos,Pos,N/A
0,1,X,2,Pos,Pos,Neg,N/A
0,1,X,2,Pos,Neg,Pos,N/A
0,1,X,2,Pos,Neg,Neg,N/A
0,1,X,2,Neg,Pos,Pos,N/A
0,1,X,2,Neg,Pos,Neg,N/A
0,1,X,2,Neg,Neg,Pos,N/A
0,1,X,2,Neg,Neg,Neg,N/A
0,1,X,3,Pos,Pos,Pos,N/A
0,1,X,3,Pos,Pos,Neg,N/A
0,1,X,3,Pos,Neg,Pos,N/A
0,1,X,3,Pos,Neg,Neg,N/A
